,Id,Species
27,28,Iris-setosa
118,119,Iris-virginica
71,72,Iris-versicolor
0,1,Iris-setosa
123,124,Iris-virginica
99,100,Iris-versicolor
3,4,Iris-setosa
43,44,Iris-setosa
83,84,Iris-versicolor
54,55,Iris-versicolor
45,46,Iris-setosa
20,21,Iris-setosa
88,89,Iris-versicolor
46,47,Iris-setosa
134,135,Iris-virginica
78,79,Iris-versicolor
90,91,Iris-versicolor
63,64,Iris-versicolor
40,41,Iris-setosa
77,78,Iris-versicolor
1,2,Iris-setosa
139,140,Iris-virginica
70,71,Iris-versicolor
96,97,Iris-versicolor
138,139,Iris-virginica
15,16,Iris-setosa
114,115,Iris-virginica
127,128,Iris-virginica
42,43,Iris-setosa
21,22,Iris-setosa
9,10,Iris-setosa
55,56,Iris-versicolor
60,61,Iris-versicolor
86,87,Iris-versicolor
28,29,Iris-setosa
68,69,Iris-versicolor
30,31,Iris-setosa
74,75,Iris-versicolor
145,146,Iris-virginica
103,104,Iris-virginica
67,68,Iris-versicolor
108,109,Iris-virginica
23,24,Iris-setosa
19,20,Iris-setosa
35,36,Iris-setosa
