,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
13,14,4.3,3.0,1.1,0.1,Iris-setosa
2,3,4.7,3.2,1.3,0.2,Iris-setosa
109,110,7.2,3.6,6.1,2.5,Iris-virginica
100,101,6.3,3.3,6.0,2.5,Iris-virginica
34,35,4.9,3.1,1.5,0.1,Iris-setosa
52,53,6.9,3.1,4.9,1.5,Iris-versicolor
140,141,6.7,3.1,5.6,2.4,Iris-virginica
26,27,5.0,3.4,1.6,0.4,Iris-setosa
84,85,5.4,3.0,4.5,1.5,Iris-versicolor
121,122,5.6,2.8,4.9,2.0,Iris-virginica
18,19,5.7,3.8,1.7,0.3,Iris-setosa
50,51,7.0,3.2,4.7,1.4,Iris-versicolor
141,142,6.9,3.1,5.1,2.3,Iris-virginica
38,39,4.4,3.0,1.3,0.2,Iris-setosa
41,42,4.5,2.3,1.3,0.3,Iris-setosa
125,126,7.2,3.2,6.0,1.8,Iris-virginica
144,145,6.7,3.3,5.7,2.5,Iris-virginica
80,81,5.5,2.4,3.8,1.1,Iris-versicolor
33,34,5.5,4.2,1.4,0.2,Iris-setosa
105,106,7.6,3.0,6.6,2.1,Iris-virginica
85,86,6.0,3.4,4.5,1.6,Iris-versicolor
25,26,5.0,3.0,1.6,0.2,Iris-setosa
59,60,5.2,2.7,3.9,1.4,Iris-versicolor
51,52,6.4,3.2,4.5,1.5,Iris-versicolor
120,121,6.9,3.2,5.7,2.3,Iris-virginica
93,94,5.0,2.3,3.3,1.0,Iris-versicolor
81,82,5.5,2.4,3.7,1.0,Iris-versicolor
37,38,4.9,3.1,1.5,0.1,Iris-setosa
44,45,5.1,3.8,1.9,0.4,Iris-setosa
39,40,5.1,3.4,1.5,0.2,Iris-setosa
129,130,7.2,3.0,5.8,1.6,Iris-virginica
119,120,6.0,2.2,5.0,1.5,Iris-virginica
97,98,6.2,2.9,4.3,1.3,Iris-versicolor
115,116,6.4,3.2,5.3,2.3,Iris-virginica
136,137,6.3,3.4,5.6,2.4,Iris-virginica
69,70,5.6,2.5,3.9,1.1,Iris-versicolor
92,93,5.8,2.6,4.0,1.2,Iris-versicolor
135,136,7.7,3.0,6.1,2.3,Iris-virginica
126,127,6.2,2.8,4.8,1.8,Iris-virginica
133,134,6.3,2.8,5.1,1.5,Iris-virginica
143,144,6.8,3.2,5.9,2.3,Iris-virginica
107,108,7.3,2.9,6.3,1.8,Iris-virginica
58,59,6.6,2.9,4.6,1.3,Iris-versicolor
104,105,6.5,3.0,5.8,2.2,Iris-virginica
31,32,5.4,3.4,1.5,0.4,Iris-setosa
106,107,4.9,2.5,4.5,1.7,Iris-virginica
53,54,5.5,2.3,4.0,1.3,Iris-versicolor
102,103,7.1,3.0,5.9,2.1,Iris-virginica
7,8,5.0,3.4,1.5,0.2,Iris-setosa
113,114,5.7,2.5,5.0,2.0,Iris-virginica
116,117,6.5,3.0,5.5,1.8,Iris-virginica
64,65,5.6,2.9,3.6,1.3,Iris-versicolor
14,15,5.8,4.0,1.2,0.2,Iris-setosa
124,125,6.7,3.3,5.7,2.1,Iris-virginica
4,5,5.0,3.6,1.4,0.2,Iris-setosa
110,111,6.5,3.2,5.1,2.0,Iris-virginica
22,23,4.6,3.6,1.0,0.2,Iris-setosa
16,17,5.4,3.9,1.3,0.4,Iris-setosa
12,13,4.8,3.0,1.4,0.1,Iris-setosa
17,18,5.1,3.5,1.4,0.3,Iris-setosa
142,143,5.8,2.7,5.1,1.9,Iris-virginica
5,6,5.4,3.9,1.7,0.4,Iris-setosa
8,9,4.4,2.9,1.4,0.2,Iris-setosa
79,80,5.7,2.6,3.5,1.0,Iris-versicolor
57,58,4.9,2.4,3.3,1.0,Iris-versicolor
101,102,5.8,2.7,5.1,1.9,Iris-virginica
148,149,6.2,3.4,5.4,2.3,Iris-virginica
131,132,7.9,3.8,6.4,2.0,Iris-virginica
94,95,5.6,2.7,4.2,1.3,Iris-versicolor
75,76,6.6,3.0,4.4,1.4,Iris-versicolor
6,7,4.6,3.4,1.4,0.3,Iris-setosa
111,112,6.4,2.7,5.3,1.9,Iris-virginica
89,90,5.5,2.5,4.0,1.3,Iris-versicolor
112,113,6.8,3.0,5.5,2.1,Iris-virginica
87,88,6.3,2.3,4.4,1.3,Iris-versicolor
24,25,4.8,3.4,1.9,0.2,Iris-setosa
11,12,4.8,3.4,1.6,0.2,Iris-setosa
122,123,7.7,2.8,6.7,2.0,Iris-virginica
137,138,6.4,3.1,5.5,1.8,Iris-virginica
66,67,5.6,3.0,4.5,1.5,Iris-versicolor
47,48,4.6,3.2,1.4,0.2,Iris-setosa
147,148,6.5,3.0,5.2,2.0,Iris-virginica
132,133,6.4,2.8,5.6,2.2,Iris-virginica
91,92,6.1,3.0,4.6,1.4,Iris-versicolor
49,50,5.0,3.3,1.4,0.2,Iris-setosa
48,49,5.3,3.7,1.5,0.2,Iris-setosa
128,129,6.4,2.8,5.6,2.1,Iris-virginica
117,118,7.7,3.8,6.7,2.2,Iris-virginica
73,74,6.1,2.8,4.7,1.2,Iris-versicolor
36,37,5.5,3.5,1.3,0.2,Iris-setosa
61,62,5.9,3.0,4.2,1.5,Iris-versicolor
130,131,7.4,2.8,6.1,1.9,Iris-virginica
146,147,6.3,2.5,5.0,1.9,Iris-virginica
82,83,5.8,2.7,3.9,1.2,Iris-versicolor
62,63,6.0,2.2,4.0,1.0,Iris-versicolor
149,150,5.9,3.0,5.1,1.8,Iris-virginica
29,30,4.7,3.2,1.6,0.2,Iris-setosa
98,99,5.1,2.5,3.0,1.1,Iris-versicolor
56,57,6.3,3.3,4.7,1.6,Iris-versicolor
65,66,6.7,3.1,4.4,1.4,Iris-versicolor
76,77,6.8,2.8,4.8,1.4,Iris-versicolor
72,73,6.3,2.5,4.9,1.5,Iris-versicolor
95,96,5.7,3.0,4.2,1.2,Iris-versicolor
10,11,5.4,3.7,1.5,0.2,Iris-setosa
32,33,5.2,4.1,1.5,0.1,Iris-setosa
